Key,Id,Shared Comments,Spanish(es),Spanish(es) Comments,Spanish (Mexico)(es-MX),Spanish (Mexico)(es-MX) Comments,English(en),English(en) Comments,Japanese (Japan)(ja-JP),Japanese (Japan)(ja-JP) Comments
TRISTAN_AGAN_DIALOGUE_1_2,27,,Es una oportunidad única para analizar la acústica del lugar. Es perfecto para la nueva tesis que estoy desarrollando. ,,,,It is a unique opportunity to analyze the acoustics of the place. It is perfect for the new thesis I am developing. ,,それはその場所の音響を分析するまたとない機会です。私が開発中の新しい論文に最適です。 ,
TRISTAN_AGAN_DIALOGUE_1_3,28,,¿Has considerado cómo las ondas sonoras se dispersan en un entorno tan amplio y cómo afecta eso a nuestra percepción del sonido?,,,,Have you considered how sound waves disperse in such a wide environment and how that affects our perception of sound?,,音波がこのような広い環境でどのように分散するのか、そしてそれが私たちの音の知覚にどのような影響を与えるのかを考えたことがありますか?,
TRISTAN_AGAN_DIALOGUE_1_4,29,,"Bueno, no realmente. Estoy más preocupado por cómo la multitud va a abrumarme y me hará sentir aún peor. ",,,,"Well, not really. I'm more worried about how the crowd is going to overwhelm me and make me feel even worse. ",,いや、そうではありません。それよりも、群衆に圧倒されてさらに気分が悪くなるのではないかと心配しています。 ,
TRISTAN_AGAN_DIALOGUE_1_5,30,,"Solo soy tu compañero de piso, pero arrastrarme a tus desquiciados experimentos no es asunto mío.",,,,"I'm just your roommate, but dragging me into your crazy experiments is none of my business.",,私はあなたの単なるルームメイトですが、私をあなたのクレイジーな実験に引きずり込むことは私の仕事ではありません。,
TRISTAN_AGAN_DIALOGUE_1_6,31,,"Entiendo que estés preocupado, Tristan. ",,,,"I understand you're worried, Tristan. ",,心配しているのはわかるよ、トリスタン。 ,
TRISTAN_AGAN_DIALOGUE_1_7,32,,"Pero mira, podemos calcular la densidad de personas por metro cuadrado y estimar cuánto espacio vital tenemos. ",,,,"But look, we can calculate the density of people per square meter and estimate how much living space we have. ",,しかし、私たちは平方メートルあたりの人の密度を計算し、どれだけの居住空間があるかを推定することができます。 ,
TRISTAN_AGAN_DIALOGUE_1_8,33,,¿Qué densidad ni que ocho cuartos? ¡Si somos tres pelagatos aquí! ¿Me dejas irme al apartamento de una vez?,,,,What density or eight quarters? We are three idiots here! Can you let me go to the apartment at once?,,密度または 8 四半期は何ですか?ここにいる私たちは3人のバカです！すぐにアパートに行かせてもらえますか？,
TRISTAN_AGAN_DIALOGUE_1_9,34,,"Además, podríamos medir el nivel de ruido ambiental y ver cómo se relaciona con tu experiencia emocional…",,,,"Additionally, we could measure the level of ambient noise and see how it relates to your emotional experience…",,さらに、周囲の騒音のレベルを測定し、それがあなたの感情的な経験にどのように関係しているかを確認することもできます…,
TRISTAN_AGAN_DIALOGUE_1_10,35,,No estoy seguro de que mis emociones sigan una fórmula matemática tan clara…,,,,I'm not sure my emotions follow such a clear mathematical formula...,,私の感情がこれほど明確な数式に従っているかどうかはわかりません...,
TRISTAN_AGAN_DIALOGUE_1_11,36,,"Te noto incluso más ansioso y depresivo que de costumbre, ¡magnifico!",,,,"I notice you even more anxious and depressed than usual, wonderful!",,あなたがいつもよりもさらに不安で落ち込んでいることに気づきました、素晴らしいですね！,
TRISTAN_AGAN_DIALOGUE_1_12,37,,"Bueno, la mente humana es compleja, pero aún sigue patrones predecibles en muchos aspectos. ",,,,"Well, the human mind is complex, but it still follows predictable patterns in many ways. ",,人間の心は複雑ですが、それでも多くの点で予測可能なパターンに従います。 ,
TRISTAN_AGAN_DIALOGUE_1_13,38,,Podríamos intentar modelar tu estado de ánimo y ver si podemos encontrar alguna correlación con variables ambientales.,,,,We could try to model your mood and see if we can find any correlation with environmental variables.,,あなたの気分をモデル化して、環境変数との相関関係が見つかるかどうかを確認してみることもできます。,
TRISTAN_AGAN_DIALOGUE_1_14,39,,"Agan, eres un tipo extraño, pero aprecio que intentes ayudame a salir un poco de mi cuarto por una vez.",,,,"Agan, you're a strange guy, but I appreciate you trying to help me get out of my room for once.",,アガン、あなたは変な人だけど、一度だけ部屋から出るのを手伝ってくれてありがとう。,
TRISTAN_AGAN_DIALOGUE_1_15,40,,"¡Genial! ¡Vamos a hacer de este concierto una experiencia científica inolvidable, Tristan! ",,,,"Brilliant! Let's make this concert an unforgettable scientific experience, Tristan! ",,素晴らしい！このコンサートを忘れられない科学体験にしましょう、トリスタン！ ,
TRISTAN_AGAN_DIALOGUE_1_16,41,,"Y quién sabe, tal vez descubramos algo que pueda ayudarte a sentirte mejor.",,,,"And who knows, maybe we'll discover something that can help you feel better.",,そして、もしかしたら、あなたの気分を良くするのに役立つ何かが見つかるかも知れません。,
TRISTAN_AGAN_DIALOGUE_1_17,42,,Callate.,,,,Be quiet.,,静かに。,
DIALOGUE_GETPOISON_1,43,,Se ha añadido la bebida envenenada al inventario.,,,,The poisoned drink has been added to the inventory.,,毒入りドリンクがインベントリに追加されました。,
DIALOGUE_GETPOISON_2,44,,Parece que tenemos una pista sobre el asesino.,,,,Looks like we have a lead on the killer.,,犯人の手がかりが得られたようだ。,
ALEX_FERNANDO_ARGUMENT_1,45,,*Alex se da cuenta de que Fernado se encuentra entre el público y empieza a ponerse ansioso*,,,,*Alex notices that Fernando is in the audience and starts to get anxious*,,*アレックスはフェルナンドが観客の中にいることに気づき、不安になり始めます*,
ALEX_FERNANDO_ARGUMENT_2,46,ALEX,Ay mi madre. ¿Pero que hace este vejestorio aqui otra vez?,,,,Oh my mother. But what is this geezer doing here again?,,ああ、母さん。しかし、このオタクはまたここで何をしているのでしょうか？,
ALEX_FERNANDO_ARGUMENT_3,47,FERNANDO,"Caster baja que tenemos que hablar de tus cuentas pendientes, esta vez no vas a librarte.",,,,"Caster comes down, we have to talk about your pending bills, this time you're not going to get away.",,キャスターが降りてきました。保留中の請求書について話さなければなりません。今回は逃げるつもりはありません。,
ALEX_FERNANDO_ARGUMENT_4,48,ALEX,"Venga tío, ¿tiene que ser aqui delante de mi público? Aunque sea vamos a la sala privada un momento.",,,,"Come on man, does it have to be here in front of my audience? Even if it's just let's go to the private room for a moment.",,おいおい、ここで私の聴衆の前にいる必要があるのか​​？ちょっとだけでも個室に行きましょう。,
ALEX_FERNANDO_ARGUMENT_5,49,ALEX,"Quiero dar un espectáculo pero no precisamente de este tipo, ¿me entiendes?",,,,"I want to put on a show but not exactly this type, do you understand me?",,私はショーをしたいのですが、まったくそのようなタイプではありません、あなたは私の考えを理解していますか？,
ALEX_FERNANDO_ARGUMENT_6,50,FERNANDO,"Como prefieras, pero no vas a seguir escaqueándote como de costumbre.",,,,"As you prefer, but you are not going to continue shirking as usual.",,あなたが望むように、しかし、あなたはいつものように避け続けるつもりはありません。,
ALEX_FERNANDO_ARGUMENT_7,51,ALEX,"Que si, que si, jesús...",,,,"Yes, yes, Jesus...",,はい、はい、イエス様…,
ALEX_FERNANDO_ARGUMENT_8,52,,*Alex y Fernando se van a la sala privada de la parte norte a hablar solos*,,,,*Alex and Fernando go to the private room on the north side to talk alone*,,*アレックスとフェルナンドは北側の個室に行き二人きりで話す*,
ALEX_FERNANDO_ARGUMENT_9,53,FERNANDO,"Mira Alex, esta es la última vez que vengo a avisarte y creo que he sido demasiado permisivo.",,,,"Look Alex, this is the last time I come to warn you and I think I have been too permissive.",,いいか、アレックス、私があなたに警告しに来るのはこれが最後だけど、私は寛容すぎたと思う。,
ALEX_FERNANDO_ARGUMENT_10,54,FERNANDO,"Pero si no pagas la deuda que debes en una semana, voy a tener que tomarme el asunto por mis manos.",,,,"But if you don't pay the debt you owe in a week, I'm going to have to take matters into my own hands.",,でも、一週間以内に借金を返済しなかったら、私が自分の手で問題を解決しなければなりません。,
ALEX_FERNANDO_ARGUMENT_11,55,FERNANDO,¿A qué demonios te estás refiriendo?,,,,What the hell are you referring to?,,一体何のことを言ってるの？,
ALEX_FERNANDO_ARGUMENT_12,56,FERNANDO,"O pagas, o le digo a tu querida princesita que el acto benéfico es solo una mentira y que el dinero es para tu uso personal.",,,,"Either you pay, or I tell your dear little princess that the charity event is just a lie and that the money is for your personal use.",,あなたが支払うか、あなたの愛する小さなプリンセスに、チャリティーイベントは単なる嘘であり、そのお金はあなたの個人的な使用のためであると伝えてください。,
ALEX_FERNANDO_ARGUMENT_13,57,ALEX,¡Eso es mentira y lo sabes! Jamás mentiria a Tiffany. El dinero es sólo para su organización.,,,,That's a lie and you know it! I would never lie to Tiffany. The money is only for your organization.,,それは嘘です、そしてあなたはそれを知っています！私はティファニーに決して嘘をつきません。お金はあなたの組織のためだけにあります。,
ALEX_FERNANDO_ARGUMENT_14,58,FERNANDO,Pero eso ella no lo sabe. O pagas o le digo que es todo una argucia tuya para quedarte con mitad del dinero que saques del concierto.,,,,But she doesn't know that. Either you pay or I tell him that it's all a ruse on your part to keep half of the money you get from the concert.,,しかし、彼女はそれを知りません。あなたが払うか、コンサートで得たお金の半分を手元に置いておくためのあなたの側の策略だと私が彼に言うかのどちらかです。,
ALEX_FERNANDO_ARGUMENT_15,59,FERNANDO,Y después la dire que yo he venido aquí para impedirtelo. *Se engatusa el tupé dramáticamente*,,,,And then I will tell her that I have come here to stop you. *Flicks his toupee dramatically*,,そして、私はあなたを止めるためにここに来たと彼女に伝えます。 *カツラを劇的にひっくり返す*,
ALEX_FERNANDO_ARGUMENT_16,60,ALEX,¡Serás...!,,,,You will...!,,あなたはするであろう...！,
ALEX_FERNANDO_ARGUMENT_17,61,,*Se escuchan muchos gritos y voces desde el interior de la sala VIP*,,,,*Many screams and voices can be heard from inside the VIP room*,,※VIPルーム内からは悲鳴や声が多数聞こえます※,
ALEX_FERNANDO_ARGUMENT_18,62,ALEX,¡¿Pero qué narices?!,,,,But what the hell?!,,しかし、一体何だ？,
ALEX_FERNANDO_ARGUMENT_19,63,,*Alex aparece en la sala jadeando y con cara de puro terror*,,,,*Alex appears in the room panting and with a face of pure terror*,,*アレックスは息を切らし、純粋な恐怖の表情で部屋に現れます*,
ALEX_FERNANDO_ARGUMENT_20,64,ALEX,"¡Oigan, tenemos un problema! ¡Al viejo le ha dado un ataque a la patata o qué se yo!",,,,"Hey, we have a problem! The old man has had a potato attack or what do I know!",,やあ、問題があるんです！老人はジャガイモの発作を起こしました、それとも私は何を知っていますか？,
SELENE_BEFOREDISASTER_1,65,SELENE,¿Y esos gritos? Carlos creo que le ha pasado algo a Alex.,,,,"And those screams? Carlos, I think something has happened to Alex.",,そしてあの叫び声は？カルロス、アレックスに何かが起こったようです。,
SELENE_BEFOREDISASTER_2,66,CARLOS,Deberíamos acercarnos a ver que sucede.,,,,We should get closer to see what's happening.,,何が起こっているのかを見るためにもっと近づいてみましょう。,
CARLOS_BEFOREDISASTER_1,67,CARLOS,"¿Alex que sucede, va todo bien?",,,,"Alex, what's wrong, is everything okay?",,アレックス、どうしたの、大丈夫？,
CARLOS_BEFOREDISASTER_2,68,ALEX,¡¿Todo bien?! ¡Te digo que al viejo le ha dado un apechusque!,,,,"All good?! I'm telling you, the old man has had a hard time!",,大丈夫ですか？言っておきますが、おじいさんは大変な思いをしてきました！,
CARLOS_BEFOREDISASTER_3,69,CARLOS,Respira y cuéntanos que ha pasado.,,,,Breathe and tell us what happened.,,息を吸って、何が起こったのか話してください。,
CARLOS_BEFOREDISASTER_4,70,ALEX,"Verás, tengo unos problemitas con el señor Fernando, nada grave.",,,,"You see, I have some little problems with Mr. Fernando, nothing serious.",,ご存知のとおり、フェルナンドさんとはちょっとした問題がありますが、深刻なものではありません。,
CARLOS_BEFOREDISASTER_5,71,ALEX,"Estábamos conversando, me calente sin querer y fui a agarrarle al cuello para que se callara.",,,,"We were talking, I accidentally got hot and went to grab him by the neck to make him shut up.",,話していて、うっかり熱くなってしまったので、黙らせようと首を掴みに行きました。,
CARLOS_BEFOREDISASTER_6,72,ALEX,¡Pero te juro que no me dio tiempo a apretar las manos demasiado fuerte como para matarlo!,,,,But I swear I didn't have time to squeeze my hands too hard to kill him!,,しかし、彼を殺すために手を握りすぎている時間はなかったと誓います。,
CARLOS_BEFOREDISASTER_7,73,ALEX,Cuando me di cuenta el viejo ya tenia sangre en la boca y no estaba respirando. ,,,,"When I realized it, the old man already had blood in his mouth and was not breathing. ",,気が付くと、老人はすでに口の中に血が流れ、息をしていなかった。 ,
CARLOS_BEFOREDISASTER_8,74,SELENE,*Miro a Carlos de reojo*,,,,*I look at Carlos out of the corner of my eye*,,*目の端でカルロスを見つめます*,
CARLOS_BEFOREDISASTER_9,75,CARLOS,¿Hora de investigar? ,,,,Time to investigate? ,,調査する時間はありますか? ,
CARLOS_BEFOREDISASTER_10,76,SELENE,Yup.,,,,Yup.,,うん。,
CARLOS_BEFOREDISASTER_11,77,CARLOS,Nosotros nos ocupamos Alex.,,,,We take care of it Alex.,,アレックス、私たちが大事にします。,
CARLOS_BEFOREDISASTER_12,78,CARLOS,Somos detectives privados. *Carlos enseña la placa*,,,,We are private detectives. *Carlos shows the badge*,,私たちは私立探偵です。 *カルロスがバッジを見せる*,
CARLOS_BEFOREDISASTER_13,79,CARLOS,"Estábamos de descanso y vinimos al ver el concierto para relajarnos un poco, pero parece que es hora de trabajar.",,,,"We were on break and came after the concert to relax a little, but it seems like it's time to work.",,私たちは休憩中だったので、コンサートの後に少しリラックスするために来ましたが、どうやら仕事の時間のようです。,
CARLOS_BEFOREDISASTER_14,80,,Se ha añadido el perfil de Alex al menú de perfiles,,,,Alex's profile has been added to the profile menu,,アレックスのプロフィールがプロフィールメニューに追加されました,
CARLOS_BEFOREDISASTER_15,81,SELENE,Por cierto.,,,,By the way.,,ところで。,
CARLOS_BEFOREDISASTER_16,82,SELENE,"Tú, si tú, el que está pasando mis diálogos sin ton ni son.",,,,"You, yes you, the one who is passing my dialogues without rhyme or reason.",,あなたは、そうです、あなたは、韻も理由もなく私の対話を通過している人です。,
CARLOS_BEFOREDISASTER_17,83,SELENE,Cuando investiguemos la escena e interroguemos a los testigos...,,,,When we investigate the scene and question witnesses...,,現場を調べて目撃者を尋問すると…。,
CARLOS_BEFOREDISASTER_18,84,SELENE,Puedes ver los perfiles y las pistas reunidas pulsando [TAB].,,,,You can view the profiles and collected tracks by pressing [TAB].,,[TAB] を押すと、プロファイルと収集したトラックを表示できます。,
CARLOS_BEFOREDISASTER_19,85,SELENE,"Bueno, ¡al lío!",,,,"Well, let's get to it!",,さて、それでは始めましょう！,
PELUQUIN_01,86,CARLOS,Espera... ¿esto es un peluquín?,,,,Wait... this is a toupee?,,待ってください...これはカツラですか？,
PELUQUIN_02,87,SELENE,"Carlos, ¿me estás tomando el pelo? Pfffhaha... *Se limpia una lagrimilla*",,,,"Carlos, are you kidding me? Pfffhaha... *wipes a tear*",,カルロス、冗談ですか？ふふはは... *涙を拭く*,
PELUQUIN_03,88,,"Has obtenido el peluquín de Fernando, !PUAJ!",,,,"You have obtained Fernando's toupee, YUCK!",,フェルナンドのカツラを手に入れました、ヤッ！,
CUELLO_01,89,SELENE,¿Te has dado cuenta de esto Carlos?,,,,Have you noticed this Carlos?,,このカルロスに気づきましたか？,
CUELLO_02,90,CARLOS,¿Qué sucede?,,,,What's going on?,,どうしたの？,
CUELLO_03,91,SELENE,"Mira bien, ¿no te resulta extraño el cuello?",,,,"Look closely, doesn't your neck look strange to you?",,よく見てください、首がおかしくありませんか？,
CUELLO_04,92,CARLOS,Ahora que lo dices... El cuerpo de Fernando no tiene marcas en el cuello.,,,,Now that you mention it... Fernando's body has no marks on his neck.,,そう言えば…フェルナンドの遺体の首には何の痕跡もありませんでした。,
CUELLO_05,93,CARLOS,Lo que dijo Alex Caster parece ser verdad. No tiene signos de un estrangulamiento fuerte.,,,,What Alex Caster said seems to be true. He has no signs of strong strangulation.,,アレックス・キャスターの言ったことは真実のようだ。強い絞殺の痕跡はない。,
CUELLO_06,94,SELENE,Ni tampoco tiene arañazos de autodefensa con sus uñas intentando liberarse. Que curioso...,,,,Nor does he have self-defense scratches with his nails trying to free himself. How curious...,,また、彼は自分自身を解放しようとして爪で自己防衛のための傷を負っているわけでもありません。なんて好奇心旺盛なんでしょう...,
CUELLO_07,95,,"Se ha añadido ""Marcas en el Cuello"" al bloc de notas.",,,,"""Marks on Neck"" has been added to the notebook.",,ノートに「首の跡」が追加されました。,
SANGRE_01,96,CARLOS,"Que escena tan grotesca, pobre señor.",,,,"What a grotesque scene, poor man.",,何というグロテスクな光景だ、可哀そうな人。,
SANGRE_02,97,CARLOS,"Tiene toda la boca encharcada de sangre, sea lo que fuere, parece bastante doloroso.",,,,"His whole mouth is covered in blood, whatever it is, it looks quite painful.",,口の中は血だらけで、とにかく痛そうです。,
SANGRE_03,98,SELENE,"Pero no parece que presente signos de axfisia, dudo que esa sangre tenga que ver con los pulmones.",,,,"But it doesn't seem to show signs of axiphysia, I doubt that the blood has anything to do with the lungs.",,しかし、軸索症の兆候はないようです、血液が肺と関係があるとは思えません。,
SANGRE_04,99,SELENE,"Tampoco presenta heridas en los labios ni el interior de la boca, lo mas probable es que tosiese y esa sangre venga del estómago.",,,,"There are also no wounds on the lips or inside the mouth, it is most likely that he coughed and that blood came from the stomach.",,唇や口の中にも傷はなく、咳をして胃から血が出た可能性が高い。,
SANGRE_05,100,SELENE,"Si te das cuenta, hay gotitas de sangre en su manga, asi que la idea de que tosió sangre me resulta lo más plausible.",,,,"If you notice, there are droplets of blood on his sleeve, so the idea that he coughed up blood seems the most plausible to me.",,気付けば袖に血滴が付いているので、喀血したという考えが一番有力に思えます。,
SANGRE_06,101,,"Se ha añadido ""Manchas de Sangre"" al bloc de notas",,,,"Added ""Blood Stains"" to the notebook",,ノートに「血痕」を追加しました,
FERNANDO_ADD_CHARACTER,102,,Se ha añadido el perfil de Fernando al menú de perfiles,,,,Fernando's profile has been added to the profile menu,,フェルナンドのプロフィールがプロフィールメニューに追加されました,
DIALOGUE_ACTIVATOR01_1,103,SELENE,"Esta claro que quien lo ha haecho es alguien de los aqui presentes, ya que ese tio estaba vivo antes de entrar a esta sala",,,,"It is clear that the person who did it is someone present here, since that guy was alive before entering this room.",,その男はこの部屋に入る前から生きていたので、それをしたのはここにいる誰かであることは明らかです。,
DIALOGUE_ACTIVATOR01_2,104,CARLOS,¿Crees que pudo haber sido Caster?,,,,Do you think it could have been Caster?,,それはキャスターだった可能性があると思いますか？,
DIALOGUE_ACTIVATOR01_3,105,SELENE,"Por desgracia, ellos 2 entraron a esta sala y solo uno de ellos ha salido vivo...",,,,"Unfortunately, the two of them entered this room and only one of them has come out alive...",,残念ながら、二人はこの部屋に入ってきて、生きて出てきたのは一人だけ…。,
DIALOGUE_ACTIVATOR01_4,106,CARLOS,Creo que deberiamos interrogar al resto de personas que estan en la otra sala alguno tiene que conocer a la victima,,,,I think we should question the rest of the people in the other room. Some of them have to know the victim.,,他の部屋にいる残りの人々に質問すべきだと思います。彼らの中には被害者を知っている人もいる。,
DIALOGUE_ACTIVATOR01_5,107,CARLOS,"Quitando a la víctima solo quedan 5 personas, con Alex son 6.",,,,"Removing the victim there are only 5 people left, with Alex there are 6.",,犠牲者を除くと残るのは5人だけ、アレックスを加えれば6人になる。,
DIALOGUE_ACTIVATOR01_6,108,SELENE,"Antes vi a la víctima hablando con una chica, deberiamos empezar por ella. Pero antes hablemos con Caster.",,,,"Earlier I saw the victim talking to a girl, we should start with her. But first let's talk to Caster.",,先ほど被害者が女の子と話しているのを見ましたが、彼女から始めるべきです。まずはキャスターに話しましょう。,
ALEX_BEFOREBODY_1,109,ALEX,¿Qué habéis averiguado?,,,,What have you found out?,,何が分かりましたか?,
ALEX_BEFOREBODY_2,110,CARLOS,Alex...Está muerto.,,,,Alex...He's dead.,,アレックス…彼は死んだ。,
ALEX_BEFOREBODY_3,111,ALEX,¿Qué? ¿Cómo? Si yo no lo maté.,,,,That? As? If I didn't kill him.,,それ？として？私が彼を殺さなかったら。,
ALEX_BEFOREBODY_4,112,SELENE,Creemos que la causa de la muerte no fue por extrangulamiento.,,,,We believe the cause of death was not strangulation.,,私たちは死因は絞殺ではないと考えています。,
ALEX_BEFOREBODY_5,113,SELENE,¿Seguro que no le hicistes nada?,,,,Are you sure you didn't do anything to him?,,本当に彼に何もしていないのですか？,
ALEX_BEFOREBODY_6,114,ALEX,"No, claro que no. No me caia bien, pero tampoco le mataría.",,,,"Of course not. I didn't like him, but I wouldn't kill him either.",,もちろん違います。私は彼のことが好きではなかったが、彼を殺すつもりもなかった。,
ALEX_BEFOREBODY_7,115,CARLOS,Lo único que sabemos es que entrasteis ustedes dos y solo uno salio vivo.,,,,The only thing we know is that you two went in and only one came out alive.,,私たちが知っている唯一のことは、あなた方二人が入って、生き残って出てきたのは一人だけだということです。,
ALEX_BEFOREBODY_8,116,SELENE,Podría contar exactamente que paso.,,,,I could tell you exactly what happened.,,何が起こったのかを正確に話すことができました。,
ALEX_BEFOREBODY_9,117,ALEX,Claro...,,,,Clear...,,クリア...,
